id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
ayatcvvbhyvp,Llanada nariño,rescate,urgente,1.472721,-77.5802015,Llanada nariño,,Agua | Electrolitos | Botiquín | Tapabocas | Linternas,0,0,,2026-08-12T05:56:09.313Z
pa2ejiy9vnt3,Linares,rescate,urgente,1.3334602717892476,-77.50731740538367,,,,0,21,,2026-08-12T05:19:01.479Z
uqcan3am3bx7,España 1,rescate,urgente,4.5754258,-74.2161454,España 1,,Agua | Gafas de seguridad | Comida | Guantes de obra | Tapabocas | Linternas | Palas | Picas | Porras | Barras de demolición | Percutores | Discos de pulidora | Cinceles | Seguetas | Baldes | Costales | Cintas de seguridad | Electrolitos | Botiquín,0,0,,2026-08-12T05:17:06.340Z
abgfwwt6dmmf,Avenida 30 de agosto #29-40,rescate,urgente,4.8138665,-75.7627285,Avenida 30 de agosto #29-40,,,0,0,,2026-08-12T05:17:04.138Z
jf9s92fs,Olla comunitaria El Poblado,cocina,urgente,6.124967751811493,-75.45989833439704,,El Poblado,Guantes de obra | Gafas de seguridad | Tapabocas | Agua | Electrolitos | Costales,0,0,,2026-08-12T05:16:55.624Z
8mhndaykatbh,Universidad del Pacífico,rescate,urgente,3.8881929,-77.0738324,Buenaventura,,Agua | Comida | Guantes de obra | Palas | Picas | Linternas | Baldes | Costales | Carpas | Pañales | Botiquín | Gafas de seguridad | Tapabocas | Barras de demolición,0,0,,2026-08-12T05:16:53.781Z
fxd6gmi3gs4b,Argelia,rescate,urgente,4.720851539456239,-76.12384709995241,Argelia,,Voluntarios | Agua | Comida | Botiquín,0,0,,2026-08-12T05:16:53.154Z
v65b8xxdsjcc,"Tengo comida preparada, muchos lugares llenos, que no quiero desperdiciar, un lugar que de verdad  lo necesite !! Muchos centros de acopio están llenos y no aceptan más ayudas.",rescate,urgente,36.88690329099777,31.01422954771168,"Tengo comida preparada, muchos lugares llenos, que no quiero desperdiciar, un lugar que de verdad  lo necesite !! Muchos centros de acopio están llenos y no aceptan más ayudas.",,Comida | Agua,0,0,,2026-08-12T05:16:48.725Z
eitkgw4rrbkp,Casa verde,rescate,urgente,4.9475699,-75.6436997,Casa verde,,Agua | Comida | Gafas de seguridad | Guantes de obra | Tapabocas | Palas | Picas | Percutores | Barras de demolición | Cintas de seguridad | Botiquín | Electrolitos | Tapers | Carpas | Colchonetas | Pañales,0,0,,2026-08-12T05:16:47.657Z
ncks8rtutmq8,"Circasia quindio, vereda membrillal",rescate,urgente,4.636623578336953,-75.65142568650961,"Circasia quindio, vereda membrillal",,Agua | Comida | Linternas | Colchonetas | Comida para animales,0,0,,2026-08-12T05:14:16.134Z
zdrgpsfmhf23,Espriella,rescate,urgente,1.4829616,-78.6487275,Espriella,,,0,0,,2026-08-12T05:14:11.447Z
kd7cjucc,Versalles (municipio) — reconstrucción,acopio,necesita,4.6166442,-76.2325677,"Versalles, Valle · entrega frente al coliseo, junto a la policía (antiguo jardín Los Picapiedras)",,Cemento | Varillas corrugadas | Arena | Gravilla | Ladrillos | Tejas de zinc | Tejas de Eternit | Vigas de soporte | Tubería PVC sanitaria e hidráulica | Tubería conduit | Agua limpia,0,0,,2026-08-12T05:11:58.384Z
nk4zgyzraynx,Donaciones para Roldanillo,acopio,urgente,1.2305396,-77.2883829,Condominio Terranova,,Agua | Comida | Linternas | Botiquín | Tapers | Carpas | Colchonetas | Pañales | Comida para animales | Cintas de seguridad | Electrolitos | Guantes de obra | Leche UTH,0,0,,2026-08-12T04:29:49.541Z
zxjykm7bn79s,Notaria 20 Cali valle,rescate,urgente,3.2107119,-76.3139519,Notaria 20 Cali valle,,,0,0,,2026-08-12T04:06:49.857Z
yn5btjbp24pr,Florida valle,acopio,cubierto,3.3244144,-76.2291845,Florida valle,,,0,0,,2026-08-12T03:50:13.427Z
4frczy3j5h9z,San Pablo Nariño,rescate,urgente,1.6788623,-76.989174,San Pablo Nariño,,,0,0,,2026-08-12T03:45:19.542Z
h4jcbjea2zfq,Robledo,rescate,urgente,4.2532379,-76.2274603,Robledo,,Comida para animales | Linternas | Agua | Comida | No llegan ayudas allá,0,0,,2026-08-12T03:27:43.819Z
h97hbbq2ka8s,Hospital Luis,rescate,urgente,3.8796035,-77.0206174,Hospital Luis,,Costales | Carpas | chuspas para armar una pared,0,0,,2026-08-12T03:20:25.204Z
